Product,2018,2019,2020,2021,2022,2023,2024
Accommodation Services,"21,622.8","22,007.3","3,144.0",64.8,"5,234.0","14,369.0","19,753.0"
Food & Beverage Services,"11,784.7","12,019.2","2,011.2",78.0,"5,603.0","10,575.0","17,103.0"
Passenger Transport,"15,188.0","16,023.7","2,413.0",178.1,"7,161.0","16,291.0","20,449.0"
Travel Agencies & Reservation,"3,869.6","4,047.1",582.5,0.5,740.0,"3,295.0","4,303.0"
"Cultural, Sports & Recreation","2,366.3","2,526.7",395.1,9.8,"1,755.0","2,845.0","2,892.0"
Retail Sale of Automotive Fuel,615.6,467.2,24.0,0.1,326.0,749.0,"1,076.0"
Country-specific Tourism Goods,"29,373.7","29,924.4","4,717.9",44.4,"11,289.0","25,387.0","38,672.0"
Country-specific Tourism Services,"2,861.7","2,405.3",406.0,94.8,"1,703.0","2,315.0","2,781.0"
TOTAL,"87,682.4","89,421.0","13,693.7",470.0,"33,811.0","75,826.0","107,029.0"
