Sex,Age Group,2023 (%),2024 (%)
Total,15 – 24,21.9,19.2
Total,25 – 39,38.7,35.1
Total,40 – 54,23.5,27.4
Total,≥ 55,15.9,18.3
Male,15 – 24,21.9,18.9
Male,25 – 39,39.1,35.5
Male,40 – 54,23.3,28.2
Male,≥ 55,15.7,17.4
Female,15 – 24,21.9,19.5
Female,25 – 39,38.4,34.7
Female,40 – 54,23.7,26.6
Female,≥ 55,16,19.2
