Sector,2016,2017,2018,2019,2020,2021,2022,2023,2024
Accommodation Services,207.4,210.5,222.4,233.8,208.5,196.3,201.0,225.6,231.9
Food & Beverage Services,1002.6,1087.0,1183.0,1237.7,1192.0,1245.5,1266.8,1244.5,1294.4
Passenger Transport,164.5,162.5,171.3,177.3,165.2,162.1,166.2,171.9,175.7
Travel Agencies & Reservation,35.8,40.1,38.7,40.7,34.1,26.3,28.1,27.7,29.4
"Cultural, Sports & Recreation",74.8,78.9,80.9,81.2,66.5,52.3,53.5,54.6,58.4
Retail Sale of Automotive Fuel,33.4,34.4,34.6,34.7,34.3,34.4,35.2,30.4,31.4
Retail Trade,1106.0,1104.5,1147.9,1158.1,1156.2,1181.9,1211.6,1254.9,1339.5
Country-specific Tourism Services,557.2,590.7,592.3,598.5,601.3,621.3,645.6,372.6,377.1
TOTAL,3181.7,3308.6,3471.1,3561.8,3457.5,3520.2,3608.0,3382.2,3537.8
